================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
[ 433,617] 000 | ...36350 (0,0,0) 29075...
[ 434,050] 000 | ...32844 (0,0,0) 89504...
[ 434,331] 000 | ...24792 (0,0,0) 31116...
[ 434,604] 000 | ...90406 (0,0,0) 50578...
[ 435,240] 000 | ...86346 (0,0,0) 89391...
[ 435,321] 000 | ...76613 (0,0,0) 93234...
[ 435,993] 000 | ...36093 (0,0,0) 42700...
[ 437,051] 000 | ...96967 (0,0,0) 84733...
[ 437,495] 000 | ...01625 (0,0,0) 42075...
[ 439,772] 000 | ...67279 (0,0,0) 65343...
[ 442,708] 000 | ...28509 (0,0,0) 73856...
[ 443,343] 000 | ...28136 (0,0,0) 42319...
[ 448,414] 000 | ...40980 (0,0,0) 73654...
[ 449,657] 000 | ...67036 (0,0,0) 78499...
[ 450,189] 000 | ...86277 (0,0,0) 91896...
[ 451,127] 000 | ...23768 (0,0,0) 57253...
[ 451,150] 000 | ...65776 (0,0,0) 57215...
[ 452,038] 000 | ...47502 (0,0,0) 44893...
[ 452,695] 000 | ...21622 (0,0,0) 55578...
[ 453,584] 000 | ...62967 (0,0,0) 25458...
[ 453,815] 000 | ...44584 (0,0,0) 60840...
[ 460,976] 000 | ...77469 (0,0,0) 29227...
[ 462,716] 000 | ...96584 (0,0,0) 03387...
[ 462,817] 000 | ...27522 (0,0,0) 52824...
[ 463,240] 000 | ...72789 (0,0,0) 54767...
[ 464,264] 000 | ...65250 (0,0,0) 12483...
[ 464,971] 000 | ...10021 (0,0,0) 38853...
[ 465,263] 000 | ...13812 (0,0,0) 13715...
[ 466,122] 000 | ...47109 (0,0,0) 28839...
[ 467,161] 000 | ...50396 (0,0,0) 60111...
[ 467,872] 000 | ...32499 (0,0,0) 78712...
[ 468,497] 000 | ...44039 (0,0,0) 97179...
[ 468,867] 000 | ...27787 (0,0,0) 21971...
[ 468,991] 000 | ...18712 (0,0,0) 23530...
[ 472,144] 000 | ...17513 (0,0,0) 52122...
[ 472,277] 000 | ...78944 (0,0,0) 63363...
[ 472,557] 000 | ...43155 (0,0,0) 27103...
[ 473,165] 000 | ...95984 (0,0,0) 63723...
[ 473,524] 000 | ...25265 (0,0,0) 56285...
[ 475,391] 000 | ...34612 (0,0,0) 14568...
[ 475,801] 000 | ...01801 (0,0,0) 96991...
[ 476,612] 000 | ...25380 (0,0,0) 39907...
[ 477,294] 000 | ...86272 (0,0,0) 60169...
[ 477,751] 000 | ...98428 (0,0,0) 55353...
[ 478,562] 000 | ...84055 (0,0,0) 67184...
[ 478,925] 000 | ...04245 (0,0,0) 83081...
[ 480,399] 000 | ...31012 (0,0,0) 67119...
